bookID,title,authors,average_rating,isbn13,language,num_pages,ratings_count,text_reviews_count,publisher,publication_year,age
36,The Lord of the Rings: Weapons and Warfare,Chris   Smith/Christopher  Lee/Richard Taylor,4.53,9780618391004,English,218,19822,46,Houghton Mifflin Harcourt,2003,19
37,The Lord of the Rings: Complete Visual Companion,Jude Fisher,4.5,9780618510825,English,224,359,6,Houghton Mifflin Harcourt,2004,18
45,Agile Web Development with Rails: A Pragmatic Guide,Dave Thomas/David Heinemeier Hansson/Leon Breedt/Mike Clark/Thomas  Fuchs/Andreas  Schwarz,3.84,9780976694007,English,558,1430,59,Pragmatic Bookshelf,2005,17
50,Hatchet (Brian's Saga  #1),Gary Paulsen,3.72,9780689840920,English,208,270244,12017,Atheneum Books for Young Readers: Richard Jackson Books,2000,22
51,"Hatchet: A Guide for Using ""Hatchet"" in the Classroom",Donna Ickes/Edward Sciranko/Keith Vasconcelles,4.0,9781557344496,English,48,36,2,Teacher Created Resources,1994,28
53,Guts: The True Stories behind Hatchet and the Brian Books,Gary Paulsen,3.88,9780385326506,English,144,2067,334,Delacorte Press,2001,21
54,Molly Hatchet - 5 of the Best,Molly Hatchet,4.33,9781575606248,English,56,6,0,Cherry Lane Music Company,2003,19
55,Hatchet Jobs: Writings on Contemporary Fiction,Dale Peck,3.45,9781595580276,English,228,99,16,The New Press,2005,17
57,A Changeling for All Seasons (Changeling Seasons #1),Angela Knight/Sahara Kelly/Judy Mays/Marteeka Karland/Kate Douglas/Shelby Morgen/Lacey Savage/Kate Hill/Willa Okati,3.76,9781595962805,English,304,167,4,Changeling Press,2005,17
58,Changeling (Changeling  #1),Delia Sherman,3.6,9780670059676,English,256,978,111,Viking Juvenile,2006,16
59,The Changeling Sea,Patricia A. McKillip,4.06,9780141312620,English,137,4454,302,Firebird,2003,19
61,The Changeling,Zilpha Keatley Snyder,4.17,9780595321803,English,228,1176,96,iUniverse,2004,18
63,The Changeling,Kate Horsley,3.55,9781590301944,English,339,301,43,Shambhala,2005,17
66,The Changeling (Daughters of England  #15),Philippa Carr,3.98,9780449146972,English,369,345,12,Ivy Books,1990,32
67,The Known World,Edward P. Jones,3.83,9780061159176,English,388,29686,2626,Amistad,2006,16
68,The Known World,Edward P. Jones/Kevin R. Free,3.83,9780060762735,English,14,55,12,HarperAudio,2004,18
69,The Known World,Edward P. Jones,3.83,9780060749910,English,576,22,3,Harper,2004,18
71,Traders  Guns & Money: Knowns and Unknowns in the Dazzling World of Derivatives,Satyajit Das,3.83,9780273704744,English,334,1456,82,FT Press,2006,16
72,Artesia: Adventures in the Known World,Mark Smylie,4.13,9781932386103,English,352,52,4,Archaia,2005,17
74,The John McPhee Reader (John McPhee Reader  #1),John McPhee/William Howarth,4.42,9780374517199,English,416,562,37,Farrar  Straus and Giroux,1982,40
75,Uncommon Carriers,John McPhee,3.95,9780374280390,English,248,1630,203,Farrar Straus Giroux,2006,16
76,Heirs of General Practice,John McPhee,4.17,9780374519742,English,128,268,22,Farrar  Straus and Giroux,1986,36
77,The Control of Nature,John McPhee,4.24,9780374522599,English,288,3498,305,Farrar  Straus and Giroux,1990,32
78,Annals of the Former World,John McPhee,4.34,9780374518738,English,720,3115,228,Farrar  Straus and Giroux,1999,23
79,Coming Into the Country,John McPhee,4.22,9780374522872,English,448,5704,261,Farrar  Straus and Giroux,1991,31
80,La Place de la Concorde Suisse,John McPhee,3.92,9780374519322,French,160,698,52,Farrar  Straus and Giroux,1994,28
81,Giving Good Weight,John McPhee,4.23,9780374516000,English,288,542,36,Farrar  Straus and Giroux,1994,28
83,Rising from the Plains,John McPhee,4.23,9780374520656,English,208,1341,98,Farrar  Straus and Giroux,1987,35
85,The Heidi Chronicles,Wendy Wasserstein,3.75,9780822205104,English,81,1423,70,Dramatists Play Service,2002,20
86,The Heidi Chronicles: Uncommon Women and Others & Isn't It Romantic,Wendy Wasserstein,3.84,9780679734994,English,249,2766,64,Vintage,1991,31
89,Active Literacy Across the Curriculum: Strategies for Reading  Writing  Speaking  and Listening,Heidi Hayes Jacobs,3.94,9781596670235,English,138,31,1,Routledge,2006,16
90,Simply Beautiful Beaded Jewelry,Heidi Boyd,3.77,9781581807745,English,128,62,4,North Light Books,2006,16
91,Always Enough: God's Miraculous Provision Among the Poorest Children on Earth,Heidi Baker/Rolland Baker,4.46,9780800793616,English,192,860,53,Chosen Books,2003,19
92,Mapping the Big Picture: Integrating Curriculum & Assessment K-12,Heidi Hayes Jacobs,3.68,9780871202864,English,108,77,2,Association for Supervision & Curriculum Development,1997,25
93,Heidi (Heidi  #1-2),Johanna Spyri/Beverly Cleary/Angelo  Rinaldi,3.99,9780753454947,English,352,153317,2257,Kingfisher,2002,20
94,Getting Results with Curriculum Mapping,Heidi Hayes Jacobs,3.25,9780871209993,English,192,55,5,ASCD,2004,18
96,There's Always Enough: The Miraculous Move of God in Mozambique,Rolland Baker/Heidi Baker,4.46,9781852402877,English,192,34,6,Sovereign World,2003,19
98,What to Expect the First Year (What to Expect),Heidi Murkoff/Sharon Mazel/Arlene Eisenberg/Sandee Hathaway/Mark D. Widome,3.89,9780761129585,English,832,11797,659,Workman Publishing Company,2003,19
99,The Player's Handbook: The Ultimate Guide on Dating and Relationships,Heidi Fleiss/Libby Keatinge,3.82,9780972016414,English,123,34,8,One Hour Entertainment,2004,18
100,Simply Beautiful Beading: 53 Quick and Easy Projects,Heidi Boyd,3.78,9781581805635,English,128,78,4,North Light Books,2004,18
103,God Emperor of Dune (Dune Chronicles  #4),Frank Herbert,3.84,9780441294671,English,423,2785,166,Ace Books,1987,35
105,Chapterhouse: Dune (Dune Chronicles #6),Frank Herbert,3.91,9780441102679,English,436,38778,568,Ace Books,1987,35
106,Dune Messiah (Dune Chronicles #2),Frank Herbert,3.88,9780441172696,English,331,97494,2359,Ace Books,1987,35
107,Dreamer of Dune: The Biography of Frank Herbert,Brian Herbert,4.01,9780765306470,English,592,784,21,Tor Books,2004,18
109,Heretics of Dune (Dune Chronicles  #5),Frank Herbert,3.86,9780399128981,English,480,272,20,Putnam,1984,38
110,The Road to Dune,Frank Herbert/Brian Herbert/Kevin J. Anderson,3.88,9780765353702,English,426,4789,83,Tor Science Fiction,2006,16
117,Heretics of Dune (Dune Chronicles #5),Frank Herbert,3.86,9780441328000,English,471,45388,644,Ace Books,1987,35
119,The Lord of the Rings: The Art of the Fellowship of the Ring,Gary Russell,4.59,9780618212903,English,192,26153,102,Houghton Mifflin Harcourt,2002,20
122,The Power of One (The Power of One  #1),Bryce Courtenay,4.35,9780345410054,English,544,69167,4551,Ballantine Books,1996,26
123,The Power of One (The Power of One  #1),Bryce Courtenay,4.35,9780385732543,English,291,45,13,Delacorte Books for Young Readers,2005,17
129,The Power of One: One Person  One Rule  One Month,John C. Maxwell/Stephen R. Graves/Thomas G. Addington,4.28,9780785260059,English,256,16,1,Thomas Nelson,2004,18
130,Power of an Hour: Business and Life Mastery in One Hour a Week,Dave Lakhani,3.34,9780471780939,English,205,174,16,Wiley,2006,16
131,The Power of One: The Solo Play for Playwrights  Actors  and Directors,Louis E. Catron,3.67,9780325001531,English,240,10,0,Heinemann Drama,2000,22
132,How to Buy  Sell & Profit on eBay: Kick-Start Your Home-Based Business in Just Thirty Days,Adam Ginsberg,3.48,9780060762872,English,336,76,9,William Morrow Paperbacks,2005,17
133,eBay for Dummies,Marsha Collier,3.5,9780470045299,English,386,111,9,Wiley,2006,16
135,What to Sell on ebay and Where to Get It: The Definitive Guide to Product Sourcing for eBay and Beyond,Chris Malta/Lisa Suttora,3.62,9780072262780,English,260,24,0,McGraw-Hill,2006,16
137,Starting an eBay Business for Dummies,Marsha Collier,3.55,9780764569241,English,384,55,4,Wiley,2004,18
138,eBay: Top 100 Simplified Tips & Tricks,Julia Wilkinson,4.27,9780471933823,English,260,9,0,Wiley,2006,16
139,ebay Timesaving Techniques for Dummies,Marsha Collier,3.39,9780764559914,English,391,22,1,Wiley,2004,18
140,eBay Business All-in-One Desk Reference for Dummies,Marsha Collier,3.89,9780764584381,English,864,17,3,Wiley,2005,17
141,Ruby Cookbook,Lucas Carlson/Leonard Richardson,3.84,9780596523695,English,873,166,4,O'Reilly Media,2006,16
142,Ruby Ann's Down Home Trailer Park Cookbook,Ruby Ann Boxcar,4.12,9780806523491,English,240,50,5,Citadel,2005,17
144,Ruby Ann's Down Home Trailer Park BBQin' Cookbook,Ruby Ann Boxcar,4.08,9780806525365,English,206,13,2,Citadel,2005,17
147,Rails Cookbook: Recipes for Rapid Web Development with Ruby,Rob Orsini,3.48,9780596527310,English,514,64,1,O'Reilly Media,2007,15
151,Anna Karenina,Leo Tolstoy/Richard Pevear/Larissa Volokhonsky,4.05,9780143035008,English,838,16643,1851,Penguin Classics,2004,18
152,Anna Karenina,Leo Tolstoy/David Magarshack/Priscilla Meyer,4.05,9780451528612,English,960,109420,5696,Signet,2002,20
153,Anna Karenina,Leo Tolstoy/Richard Pevear/Larissa Volokhonsky/John Bayley,4.05,9780140449174,English,837,2904,309,Penguin Books,2003,19
154,CliffsNotes on Tolstoy's Anna Karenina,Marianne Sturman/Leo Tolstoy,3.85,9780822001836,English,80,16,3,Cliffs Notes,1965,57
155,Anna Karenina,Leo Tolstoy/Amy Mandelker/Constance Garnett,4.05,9781593080273,English,803,9564,726,Barnes & Noble Classics,2003,19
156,Anna Karenina,Leo Tolstoy/Louise Maude/Aylmer Maude,4.05,9780486437965,English,752,474,72,Dover Publications,2004,18
157,Anna Karenina,Leo Tolstoy/Constance Garnett/Amy Mandelker,4.05,9781593081775,English,803,303,48,Barnes & Noble,2004,18
159,Dinner with Anna Karenina,Gloria Goldreich,2.99,9780778322276,English,360,411,65,Mira Books,2006,16
160,Tolstoy: Anna Karenina,Anthony Thorlby,4.19,9780521313254,English,128,1204,33,Cambridge University Press,1987,35
162,Untouchable,Mulk Raj Anand/E.M. Forster,3.71,9780140183955,English,160,3429,279,Penguin Books,1990,32
163,The Untouchable,John Banville,3.95,9780679767473,English,367,2163,216,Vintage,1998,24
164,The Untouchables,Eliot Ness/Oscar Fraley,3.89,9781568491981,English,256,613,31,Buccaneer Books,1996,26
165,Untouchables: My Family's Triumphant Journey Out of the Caste System in Modern India,Narendra Jadhav,3.82,9780743270793,English,320,308,40,Scribner,2005,17
166,Dalit: The Black Untaouchables of India,V.T. Rajshekar/Y.N. Kly,4.2,9780932863058,English,100,10,0,Clarity Press,1995,27
168,Growing Up Untouchable in India: A Dalit Autobiography,Vasant Moon/Gail Omvedt/Eleanor Zelliot,3.65,9780742508804,English,224,16,4,Rowman & Littlefield Publishers,2000,22
171,The Evidence-Based Social Work Skills Book,Barry R. Cournoyer,3.4,9780205358625,English,216,10,0,Pearson,2003,19
177,"A Wrinkle in Time: A Guide for Using ""A Wrinkle in Time"" in the Classroom",John Carratello/Patty Carratello/Theresa Wright,4.0,9781557344038,English,48,17,0,Teacher Created Resources,1991,31
180,Wrinkles in Time,George Smoot/Keay Davidson,4.01,9780380720446,English,360,1035,23,Harper Perennial,1994,28
181,A Wrinkle in Time: With Related Readings (A Wrinkle in Time Quintet #1),Madeleine L'Engle,4.0,9780821925324,English,250,36,6,EMC/Paradigm Publishing,2002,20
182,Literature Circle Guide: A Wrinkle in Time,Tara MacCarthy,3.6,9780439271691,English,32,15,0,Teaching Resources,2002,20
201,Una arruga en el tiempo – A Wrinkle in Time,Madeleine L'Engle,4.0,9780606105262,Spanish,205,6,1,Turtleback Books,1984,38
204,The Long Shadow (The Morland Dynasty  #6),Cynthia Harrod-Eagles,4.12,9780751506433,English,367,376,17,Little  Brown Book Group,1994,28
205,A Long Shadow (Inspector Ian Rutledge  #8),Charles Todd,4.11,9780060786717,English,352,3086,237,William Morrow,2006,16
207,Long Way Round: Chasing Shadows Across the World,Ewan McGregor/Charley Boorman/Robert Uhlig,3.94,9780743499347,English,320,352,44,Atria Books,2005,17
208,A Shadow in Summer (Long Price Quartet  #1),Daniel Abraham,3.6,9780765313409,English,331,9852,633,Tor Books,2006,16
213,New Hope for the Dead (Hoke Mosely #2),Charles Willeford/James Lee Burke,3.9,9781400032495,English,244,821,78,Vintage Crime/Black Lizard,2004,18
214,Sideswipe: A Hoke Moseley Novel,Charles Willeford/Lawrence Block,4.05,9781400032488,English,215,731,72,Vintage Crime/Black Lizard,2005,17
216,Miami Blues (Hoke Moseley #1),Charles Willeford/Elmore Leonard,3.94,9781400032464,English,191,2897,178,Vintage Crime/Black Lizard,2004,18
230,The Burnt Orange Heresy (Vintage Crime/Black Lizard),Charles Willeford,3.89,9780679732525,English,144,98,11,Vintage,1990,32
231,I am Charlotte Simmons,Tom Wolfe,3.42,9780312424442,English,738,20888,1688,Picador USA,2005,17
237,Poetry for Young People: Edward Lear,Edward Lear/Laura Huliska-Beith/Edward Mendelson,3.91,9780806930770,English,48,66,19,Sterling,2001,21
244,The Puffin Book of Nonsense Verse,Quentin Blake,4.02,9780140366600,English,287,81,6,Puffin,1996,26
245,Henry Miller on Writing,Henry Miller/Thomas H. Moore,4.22,9780811201124,English,217,981,52,New Directions Publishing,1964,58
247,Quiet Days in Clichy,Henry Miller,3.69,9780802130167,English,154,3381,141,Grove Press,1994,28
249,Tropic of Cancer,Henry Miller/Jiří Níl,3.68,9780802131782,English,318,53206,2376,Grove Press,1994,28
250,Tropic of Capricorn,Henry Miller,3.78,9780802151827,English,348,14872,459,Grove Press,1994,28
251,Nexus (The Rosy Crucifixion  #3),Henry Miller,4.1,9780802151780,English,316,3261,58,Grove Press,1994,28
252,Sexus (The Rosy Crucifixion  #1),Henry Miller,3.98,9780802151803,English,506,7805,251,Grove Press,1994,28
253,The Air-Conditioned Nightmare,Henry Miller,3.83,9780811201063,English,292,2699,142,New Directions,1970,52
264,The Portrait of a Lady,Henry James/Patricia Crick,3.78,9780141439631,English,797,61640,1951,Penguin Classics,2003,19
269,The Portrait of a Lady,Henry James/Gabriel Brownstein/Mary Cregan,3.78,9781593080969,English,635,392,41,Barnes  Noble Classics,2004,18
277,Writing,Marguerite Duras,3.75,9781571290533,English,91,778,44,Brookline Books,1999,23
278,The War,Marguerite Duras/Barbara Bray,3.85,9781565842212,English,192,963,65,The New Press,1994,28
280,The Ravishing of Lol Stein,Marguerite Duras/Richard Seever,3.66,9780394743042,English,181,2057,128,Pantheon,1986,36
285,Love Letters,Kahlil Gibran/Suheil Bushrui/Salma H. Al-Kuzbari,3.68,9781851681822,English,178,203,8,One World (UK),1999,23
288,Kahlil Gibran: His Life and World,Jean Gibran/جبران خليل جبران/Kahlil Gibran,4.21,9781566562492,English,464,35,2,Interlink Publishing Group,1998,24
289,The Beloved: Reflections on the Path of the Heart,Kahlil Gibran/John Walbridge/Robin Waterfield,4.19,9780140195538,English,102,328,16,Penguin Books,1998,24
290,Jesus the Son of Man,Kahlil Gibran/جبران خليل جبران,3.98,9780394431246,English,216,1308,82,Knopf,1995,27
291,The Broken Wings,Kahlil Gibran/جبران خليل جبران/Anthony Rizcallah Ferris,3.92,9780806501901,English,132,6432,517,Citadel,2003,19
292,Sand and Foam,Kahlil Gibran/جبران خليل جبران,4.08,9780679439202,English,100,3015,217,Knopf,2011,11
295,Treasure Island,Robert Louis Stevenson,3.83,9780753453803,English,311,318753,6734,Kingfisher,2001,21
296,Treasure Island,Robert Louis Stevenson/Scott McKowen,3.83,9781402714573,English,213,420,42,Sterling Children's Books,2004,18
297,Treasure Island,Robert Louis Stevenson,3.83,9781416500292,English,245,5967,276,Simon & Schuster,2005,17
298,Treasure Island,Robert Louis Stevenson/N.C. Wyeth/Timothy Meis,3.83,9780689854682,English,64,104,14,Atheneum Books for Young Readers,2003,19
299,Treasure Island,Robert Louis Stevenson/Milo Winter,3.83,9780517221143,English,272,56,4,Gramercy Books,2002,20
302,Treasure Island (Great Illustrated Classics),Deidre S. Laiken/A.J. McAllister/Robert Louis Stevenson,4.05,9781577658054,English,232,91,16,Abdo Publishing Company,2006,16
313,100 Years of Lynchings,Ralph Ginzburg,4.61,9780933121188,English,270,88,4,Black Classic Press,1996,26
324,Cien años de soledad,Gabriel García Márquez,4.07,9780785950103,Spanish,448,63,7,French & European,1990,32
330,On Beyond Zebra!,Dr. Seuss,4.04,9780394800844,English,64,2815,164,Random House Books for Young Readers,1955,67
332,The Wedding Clause,Debbie Raleigh,3.6,9780821778258,English,256,95,13,Zebra,2005,17
333,The Zebra Wall,Kevin Henkes,3.44,9780060733032,English,147,217,24,Greenwillow Books,2005,17
337,El perfume: Historia de un asesino,Patrick Süskind,4.02,9788432216060,Spanish,239,4136,255,Booket,2002,20
348,The Door Into Summer,Robert A. Heinlein,4.01,9780345413994,English,304,17232,649,Del Rey,1997,25
350,Stranger in a Strange Land,Robert A. Heinlein,3.92,9780441788385,English,528,251872,6241,Ace,1991,31
354,To Sail Beyond the Sunset,Robert A. Heinlein,3.87,9780441748600,English,434,10293,193,Ace Books,1988,34
355,Job: A Comedy of Justice,Robert A. Heinlein,3.78,9780345316509,English,439,15970,438,Del Rey,1985,37
356,Time for the Stars (Heinlein's Juveniles  #10),Robert A. Heinlein,3.97,9780765314932,English,256,6898,200,Tor Books,2006,16
357,The Long Dark Tea-Time of the Soul (Dirk Gently  #2),Douglas Adams,4.06,9780671742515,English,307,67803,1401,Pocket Books,1991,31
359,The Salmon of Doubt (Dirk Gently  #3),Douglas Adams,3.93,9780345455291,English,298,22091,746,Del Rey,2005,17
362,Wish You Were Here: The Official Biography of Douglas Adams,Nick  Webb,4.14,9780345476517,English,368,2623,49,Del Rey,2005,17
367,Douglas Adams's Starship Titanic,Terry Jones,3.6,9780345368430,English,256,885,84,Ballantine Books,1998,24
377,Salmon of Doubt: Hitchhiking the Galaxy One Last Time,Douglas Adams/Christopher Cerf,3.93,9781417622856,English,336,5,0,Turtleback Books,2003,19
382,The Phantom Tollbooth: A Children's Play in Two Acts,Susan Nanus/Norton Juster,4.13,9780573650963,English,72,100,13,Samuel French  Inc.,2011,11
385,On Bullshit,Harry G. Frankfurt,3.57,9780691122946,English,67,9358,995,Princeton University Press,2005,17
386,Another Bullshit Night in Suck City,Nick Flynn,3.78,9780393329407,English,347,9318,907,W. W. Norton & Company,2005,17
394,Lincoln at Gettysburg: The Words That Remade America,Garry Wills,4.14,9780671867423,English,317,120,15,Simon & Schuster,1993,29
397,The Gettysburg Address,Abraham Lincoln/Michael McCurdy,4.53,9780395883976,English,32,5239,76,HMH Books for Young Readers,1998,24
399,Underworld,Don DeLillo,3.92,9780684848150,English,827,1505,175,Scribner,1998,24
400,Libra,Don DeLillo,3.99,9780140156041,English,480,11857,564,Penguin,1991,31
403,Americana,Don DeLillo,3.43,9780140119480,English,377,393,55,Penguin Books,1989,33
404,Running Dog,Don DeLillo,3.43,9780679722946,English,256,1356,72,Vintage Contemporaries,1989,33
406,Cosmopolis,Don DeLillo,3.22,9780743244251,English,224,460,41,Scribner,2004,18
407,Great Jones Street,Don DeLillo,3.48,9780140179170,English,272,2492,145,Penguin Books,1994,28
408,The Names,Don DeLillo,3.64,9780679722953,English,339,3100,212,Vintage,1989,33
410,V.,Thomas Pynchon,3.96,9780060930219,English,547,1415,177,Harper Perennial Modern Classics,2005,17
411,The Crying of Lot 49,Thomas Pynchon,3.69,9780060931674,English,152,2161,230,Harper Perennial,1999,23
412,Gravity's Rainbow,Thomas Pynchon,4.01,9780140283389,English,784,762,213,Penguin Books,2000,22
413,Mason & Dixon,Thomas Pynchon/Christophe Claro/Brice Matthieussent,4.07,9780312423209,English,773,8086,602,Picador USA,2004,18
414,Vineland,Thomas Pynchon,3.69,9780141180632,English,385,702,69,Penguin Classics,1997,25
415,Gravity's Rainbow,Thomas Pynchon,4.01,9780143039945,English,776,29764,2164,Penguin Books,2006,16
416,Slow Learner: Early Stories,Thomas Pynchon,3.5,9780316724432,English,193,334,34,Back Bay Books,1985,37
418,Been Down So Long It Looks Like Up To Me,Richard Fariña/Thomas Pynchon,3.8,9780140189308,English,352,2473,220,Penguin Classics,1996,26
420,The Year of Magical Thinking,Joan Didion,3.89,9781400043149,English,227,2656,336,Knopf Publishing Group,2005,17
421,The White Album,Joan Didion,4.17,9780374522216,English,222,11889,738,Farrar Straus Giroux,1990,32
422,A Book of Common Prayer,Joan Didion,3.8,9780679754862,English,272,2962,255,Vintage International,1995,27
423,Where I Was From,Joan Didion,3.86,9780679752868,English,240,2842,292,Vintage,2004,18
424,Slouching Towards Bethlehem,Joan Didion,4.21,9780374521721,English,238,26934,1825,Farrar Straus Giroux,1990,32
425,Democracy,Joan Didion,3.81,9780679754855,English,234,2070,169,Vintage International,1995,27
428,Play It As It Lays,Joan Didion/David Thomson,3.87,9780374529949,English,231,23656,1706,Farrar  Straus and Giroux,2005,17
431,The New York Trilogy,Paul Auster/Art Spiegelman/Luc Sante,3.89,9780143039839,English,308,43200,1873,Penguin Classics,2006,16
432,City of Glass (The New York Trilogy  #1),Paul Auster,3.79,9780140097313,English,203,12410,734,Penguin Books,1987,35
434,Ghosts (The New York Trilogy  #2),Paul Auster,3.64,9780140097351,English,96,3672,195,Penguin Books,1987,35
435,The Locked Room (The New York Trilogy  #3),Paul Auster,3.89,9780940650763,English,179,2998,164,Sun and Moon Press,1986,36
444,Pyramids of Montauk: Explorations in Consciousness,Peter Moon/Preston B. Nichols/Nina Helms,3.89,9780963188922,English,256,74,2,Sky Books (NY),1995,27
446,The Brooklyn Follies,Paul Auster,3.84,9780312426231,English,306,17977,1157,Picador,2006,16
447,Moon Palace,Paul Auster,3.94,9780140115857,English,320,16099,503,Penguin Books,1990,32
453,The Music of Chance,Paul Auster,3.9,9780140154078,English,217,361,36,Penguin Books,1991,31
454,Travels in the Scriptorium,Paul Auster,3.23,9780805081459,English,145,6688,562,Henry Holt & Company,2007,15
456,Leviathan,Paul Auster,3.96,9780140178135,English,275,11744,443,Penguin Books,1993,29
463,The Red Notebook: True Stories,Paul Auster,3.77,9780811214988,English,104,2390,120,New Directions,2002,20
475,Collapse: How Societies Choose to Fail or Succeed,Jared Diamond,3.93,9780143036555,English,608,52522,2780,Penguin Books Ltd. (London),2005,17
476,The Coming Economic Collapse: How You Can Thrive When Oil Costs $200 a Barrel,Stephen Leeb/Glen C. Strathy,3.4,9780446579780,English,211,213,26,Business Plus,2006,16
477,Collapse of Complex Societies,Joseph A. Tainter,4.15,9780521386739,English,262,719,86,Cambridge University Press,1990,32
478,Bowling Alone: The Collapse and Revival of American Community,Robert D. Putnam,3.8,9780743203043,English,544,4762,512,Simon  Schuster,2001,21
481,The Collapse of the Common Good: How America's Lawsuit Culture Undermines Our Freedom,Philip K. Howard,3.91,9780345438713,English,272,62,4,Ballantine Books,2002,20
484,Reinventing the Enemy's Language: Contemporary Native Women's Writings of North America,Joy Harjo/Gloria Bird/Beth Cuthand/Valerie Martinez/Patricia Blanco,4.39,9780393318289,English,576,278,20,W. W. Norton  Company,1998,24
493,My Inventions,Nikola Tesla,4.01,9781599869940,English,88,2862,262,Filiquarian Publishing  LLC.,2006,16
494,Wizard: The Life and Times of Nikola Tesla: Biography of a Genius,Marc J.  Seifer/William H. Terbo,3.78,9780806519609,English,542,2829,334,Citadel,2001,21
497,Nikola Tesla: A Spark of Genius,Carol Dommermuth-Costa,3.93,9780822549208,English,144,105,5,Lerner Publications,1994,28
498,Tesla Papers,Nikola Tesla/David Hatcher Childress,4.13,9780932813862,English,100,102,2,Adventures Unlimited Press,2000,22
511,Boys of Summer,Julie Elizabeth Leto/Leslie Kelly/Kimberly Raye,3.77,9780373792689,English,249,478,12,Harlequin Blaze,2006,16
515,Programming Ruby: The Pragmatic Programmers' Guide,Dave Thomas/Chad Fowler/Andy Hunt,4.03,9780974514055,English,828,1577,49,Pragmatic Bookshelf,2004,18
523,Golding's Lord of the Flies (Cliffs Notes),Maureen Kelly/CliffsNotes/William Golding,3.95,9780764585975,English,112,73,8,Cliffs Notes,2000,22
524,Lord of the Flies,William Golding,3.68,9780307281708,English,6,408,96,Listening Library (Audio),2005,17
531,A War Like No Other: How the Athenians & Spartans Fought the Peloponnesian War,Victor Davis Hanson,4.11,9780812969702,English,397,1693,100,Random House,2006,16
534,We Were Not Like Other People,Ephraim Sevela/Antonina W. Bouis,4.14,9780060255084,English,216,1,0,HarperCollins Publishers,1989,33
537,The Lovely Bones,Alice Sebold,3.81,9780330485388,English,328,6485,966,Picador,2003,19
538,The Lovely Bones,Alice Sebold,3.81,9781594130236,English,532,367,73,Large Print Press,2004,18
539,Lovely in Her Bones (Elizabeth MacPherson  #2),Sharyn McCrumb,3.8,9780345360359,English,224,1371,43,Ballantine Books,1990,32
